OrderID,CustomerID,StoreID,EmployeeID,OrderDate,OrderStatus
1,1863,18,29,2023-12-07 13:00:00,Completed
2,3157,13,19,2024-08-21 21:00:00,Completed
3,4207,2,23,2023-05-03 17:00:00,Completed
4,1848,20,,2024-05-11 13:00:00,Completed
5,2955,10,,2024-04-10 11:00:00,Completed
6,13,23,13,2024-01-27 12:00:00,Pending
7,4089,17,22,2023-11-09 17:00:00,Completed
8,3672,16,45,2023-11-17 12:00:00,Completed
9,1516,15,31,2023-11-21 15:00:00,Completed
10,1162,20,,2024-02-13 14:00:00,Completed
11,2603,11,45,2023-08-12 09:00:00,Completed
12,1474,2,5,2023-06-26 18:00:00,Completed
13,4702,18,15,2023-11-29 20:00:00,Completed
14,923,23,10,2023-12-27 21:00:00,Completed
15,1095,22,,2024-12-23 17:00:00,Cancelled
16,2570,17,48,2024-10-15 17:00:00,Completed
17,1155,23,10,2023-10-31 19:00:00,Completed
18,924,10,33,2023-09-17 17:00:00,Completed
19,2275,19,7,2024-02-21 18:00:00,Completed
20,1612,24,,2023-11-22 20:00:00,Completed
21,2911,18,27,2023-08-29 17:00:00,Completed
22,2000,8,,2024-04-13 21:00:00,Completed
23,935,21,49,2023-03-27 17:00:00,Completed
24,1849,23,7,2023-06-08 19:00:00,Completed
25,3951,16,42,2024-12-18 09:00:00,Completed
26,3357,4,33,2023-05-11 16:00:00,Completed
27,4076,6,2,2024-12-10 13:00:00,Completed
28,4156,19,11,2023-11-28 16:00:00,Completed
29,4980,1,41,2023-11-02 11:00:00,Completed
30,2089,18,40,2023-11-11 19:00:00,Completed
31,3786,8,30,2024-05-31 13:00:00,Completed
32,81,20,,2023-01-29 13:00:00,Completed
33,4460,6,17,2024-09-08 09:00:00,Completed
34,3953,10,35,2024-11-12 21:00:00,Completed
35,3663,12,4,2023-01-15 11:00:00,Pending
36,4887,12,2,2023-04-15 18:00:00,Completed
37,3868,6,42,2023-01-20 19:00:00,Completed
38,2422,10,17,2023-02-18 12:00:00,Completed
39,317,13,,2024-01-19 11:00:00,Completed
40,1510,6,,2023-11-19 15:00:00,Completed
41,3186,10,44,2023-09-22 16:00:00,Completed
42,51,16,9,2023-08-26 17:00:00,Completed
43,1941,25,41,2023-03-11 20:00:00,Completed
44,1483,19,11,2023-11-25 17:00:00,Completed
45,689,15,,2023-12-02 16:00:00,Completed
46,3864,8,41,2024-04-03 16:00:00,Completed
47,2371,20,22,2024-08-07 16:00:00,Completed
48,1493,14,33,2024-10-21 17:00:00,Pending
49,3562,6,5,2023-01-10 13:00:00,Completed
50,4194,2,,2023-12-02 20:00:00,Completed
51,3627,24,11,2024-05-23 10:00:00,Completed
52,2105,13,28,2023-05-20 18:00:00,Completed
53,697,18,43,2023-12-15 11:00:00,Completed
