PaymentID,OrderID,PaymentDate,PaymentMethod,Amount
1,1,2023-12-07 13:00:00,Cash,6207.78
2,2,2024-08-21 21:00:00,Wallet,9289.29
3,3,2023-05-03 17:00:00,NetBanking,25444.96
4,4,2024-05-11 13:00:00,UPI,5438.1
5,5,2024-04-10 11:00:00,NetBanking,3285.68
6,7,2023-11-09 17:00:00,UPI,13170.27
7,8,2023-11-17 12:00:00,Card,2412.03
8,9,2023-11-21 15:00:00,UPI,10322.38
9,10,2024-02-13 14:00:00,Cash,16973.62
10,11,2023-08-12 09:00:00,Card,6705.12
11,12,2023-06-26 18:00:00,UPI,12425.32
12,13,2023-11-29 20:00:00,UPI,5595.38
13,14,2023-12-27 21:00:00,UPI,2946.39
14,16,2024-10-15 17:00:00,UPI,11808.03
15,17,2023-10-31 19:00:00,UPI,4520.82
16,18,2023-09-17 17:00:00,Card,4941.99
17,19,2024-02-21 18:00:00,Cash,11560.96
18,20,2023-11-22 20:00:00,NetBanking,7265.79
19,21,2023-08-29 17:00:00,UPI,13860.99
20,22,2024-04-13 21:00:00,Card,9027.3
21,23,2023-03-27 17:00:00,UPI,12988.99
22,24,2023-06-08 19:00:00,Cash,8376.47
23,25,2024-12-18 09:00:00,UPI,13973.94
24,26,2023-05-11 16:00:00,UPI,3557.56
25,27,2024-12-10 13:00:00,UPI,31332.81
26,28,2023-11-28 16:00:00,Cash,4176.15
27,29,2023-11-02 11:00:00,Card,12355.06
28,30,2023-11-11 19:00:00,Card,22605.15
29,31,2024-05-31 13:00:00,Card,31546.05
30,32,2023-01-29 13:00:00,UPI,10551.38
31,33,2024-09-08 09:00:00,Card,9042.48
32,34,2024-11-12 21:00:00,NetBanking,20871.85
33,36,2023-04-15 18:00:00,NetBanking,39355.95
34,37,2023-01-20 19:00:00,Card,5308.12
35,38,2023-02-18 12:00:00,Cash,18796.04
36,39,2024-01-19 11:00:00,Card,10801.6
37,40,2023-11-19 15:00:00,Cash,2278.82
38,41,2023-09-22 16:00:00,Cash,1257.64
39,42,2023-08-26 17:00:00,NetBanking,30441.37
40,43,2023-03-11 20:00:00,Cash,16069.58
41,44,2023-11-25 17:00:00,Wallet,5322.85
42,45,2023-12-02 16:00:00,UPI,4664.3
43,46,2024-04-03 16:00:00,Cash,22479.37
44,47,2024-08-07 16:00:00,UPI,14806.97
45,49,2023-01-10 13:00:00,UPI,5618.81
46,50,2023-12-02 20:00:00,NetBanking,1985.81
47,51,2024-05-23 10:00:00,Cash,5653.9
48,52,2023-05-20 18:00:00,Card,31217.03
49,53,2023-12-15 11:00:00,Card,25090.4
50,54,2024-01-15 21:00:00,UPI,6239.4
51,55,2023-03-15 16:00:00,UPI,25171.1
52,56,2024-08-17 17:00:00,UPI,9108.63
53,57,2024-11-19 10:00:00,NetBanking,27542.46
54,58,2023-12-11 18:00:00,UPI,7769.93
55,59,2024-10-05 19:00:00,UPI,15918.77
56,60,2024-08-10 16:00:00,Cash,2396.09
57,61,2024-05-29 20:00:00,NetBanking,3476.28
58,62,2024-12-27 16:00:00,Card,15880.29
59,63,2024-03-16 10:00:00,Card,22908.7
60,64,2023-02-13 19:00:00,UPI,10827.57
61,65,2023-03-12 20:00:00,Card,12349.48
62,67,2024-05-13 15:00:00,Card,13353.06
63,68,2024-08-11 21:00:00,NetBanking,5636.66
64,69,2024-09-20 17:00:00,Wallet,13538.08
65,70,2024-07-20 17:00:00,NetBanking,7249.06
66,71,2024-12-03 16:00:00,UPI,2960.2
67,72,2023-01-09 18:00:00,UPI,7069.37
68,73,2023-08-27 10:00:00,Card,12314.28
69,74,2024-12-22 13:00:00,UPI,29774.48
70,76,2023-10-24 09:00:00,UPI,4988.57
71,77,2024-07-13 15:00:00,Card,9798.0
72,78,2024-09-11 14:00:00,Card,5497.89
73,79,2023-11-25 11:00:00,Cash,12122.55
74,80,2024-05-22 10:00:00,UPI,35420.25
75,81,2023-11-05 13:00:00,Cash,3792.24
76,83,2024-04-26 15:00:00,Card,9574.15
77,84,2023-04-04 11:00:00,Card,5858.29
78,85,2023-05-10 12:00:00,Card,6388.05
79,86,2023-04-01 18:00:00,NetBanking,22766.24
80,87,2023-07-26 15:00:00,Card,189.16
81,88,2023-05-01 12:00:00,UPI,16759.66
82,89,2023-08-02 21:00:00,UPI,6589.36
83,90,2023-04-24 18:00:00,Card,1789.95
84,91,2023-04-05 15:00:00,Wallet,24119.19
85,92,2024-07-14 15:00:00,UPI,30487.26
86,93,2023-03-29 14:00:00,Cash,10285.66
87,94,2023-01-13 10:00:00,Card,18369.8
88,95,2024-03-28 11:00:00,Cash,22859.65
89,98,2024-08-01 09:00:00,UPI,3550.6
90,99,2024-07-29 12:00:00,Card,11131.88
91,100,2023-03-12 14:00:00,Wallet,6068.83
92,101,2023-09-22 13:00:00,UPI,9490.28
93,102,2024-01-10 16:00:00,Card,2329.18
94,103,2023-06-17 14:00:00,Card,40974.64
95,104,2024-02-23 17:00:00,Card,16334.29
96,105,2024-05-27 18:00:00,NetBanking,5735.82
97,106,2024-01-23 17:00:00,Wallet,5603.78
98,107,2024-11-06 20:00:00,NetBanking,6338.33
99,108,2024-03-15 12:00:00,UPI,12751.52
100,110,2023-07-10 12:00:00,UPI,7417.45
101,111,2023-03-01 12:00:00,NetBanking,15047.67
102,112,2024-05-01 10:00:00,Cash,41661.37
103,113,2023-02-22 20:00:00,UPI,17867.57
104,115,2023-08-21 16:00:00,NetBanking,4675.0
105,116,2024-11-24 18:00:00,UPI,19990.62
106,117,2023-01-16 19:00:00,NetBanking,4228.32
107,118,2023-07-10 11:00:00,Card,24161.26
108,119,2023-09-09 18:00:00,UPI,3678.19
109,120,2023-03-16 09:00:00,UPI,20439.08
110,121,2023-03-09 12:00:00,UPI,2947.86
111,122,2023-03-14 15:00:00,UPI,15632.72
112,123,2023-04-03 10:00:00,UPI,3338.54
113,124,2024-04-28 12:00:00,UPI,10641.73
114,125,2024-01-21 19:00:00,Cash,4609.37
115,126,2024-01-14 21:00:00,Cash,20077.73
116,128,2023-11-05 17:00:00,UPI,30299.58
117,129,2024-06-12 13:00:00,Card,26101.1
118,130,2024-12-09 11:00:00,UPI,16955.14
119,131,2024-12-11 14:00:00,NetBanking,3521.2
120,132,2024-09-02 16:00:00,UPI,11981.23
121,133,2023-09-18 11:00:00,UPI,24574.37
122,134,2024-10-20 11:00:00,Card,2868.39
123,135,2024-03-09 11:00:00,UPI,6056.58
124,137,2024-05-22 10:00:00,UPI,18588.14
125,138,2024-08-20 12:00:00,UPI,1345.08
126,139,2023-10-13 21:00:00,Card,16344.84
127,140,2024-11-17 14:00:00,UPI,11210.05
128,141,2024-12-30 15:00:00,Card,240.33
129,142,2024-09-30 20:00:00,UPI,13328.38
130,143,2023-02-15 17:00:00,NetBanking,17158.65
131,144,2023-09-01 18:00:00,UPI,3422.95
132,145,2023-06-21 12:00:00,UPI,11702.0
133,146,2024-11-30 09:00:00,UPI,3165.62
134,147,2023-06-16 13:00:00,UPI,10603.52
135,148,2023-05-10 21:00:00,UPI,4828.57
136,150,2023-04-06 18:00:00,UPI,7409.06
137,152,2023-05-04 16:00:00,UPI,3949.54
138,153,2023-12-29 20:00:00,UPI,5639.53
139,154,2024-11-13 09:00:00,UPI,989.93
140,156,2024-07-09 16:00:00,UPI,1415.22
141,158,2024-05-04 11:00:00,UPI,5109.54
142,159,2024-10-14 14:00:00,UPI,2751.72
143,160,2024-11-10 19:00:00,NetBanking,4083.5
144,161,2023-03-31 13:00:00,UPI,4639.48
145,162,2024-08-17 14:00:00,UPI,2917.97
146,163,2023-08-13 12:00:00,Card,10453.24
147,164,2023-11-25 15:00:00,UPI,9606.92
148,165,2024-04-19 11:00:00,UPI,19743.99
149,166,2024-03-21 13:00:00,NetBanking,18180.51
150,167,2023-02-02 15:00:00,UPI,3782.85
151,168,2023-12-15 10:00:00,UPI,4500.0
152,169,2023-10-01 10:00:00,UPI,21166.11
153,170,2023-05-21 15:00:00,NetBanking,14062.36
154,171,2024-10-02 14:00:00,UPI,688.78
155,172,2023-08-14 16:00:00,UPI,9662.59
156,173,2023-02-22 15:00:00,UPI,6314.22
157,174,2024-02-02 21:00:00,UPI,2104.72
158,175,2023-03-03 11:00:00,Card,2980.06
159,177,2023-01-23 15:00:00,Card,11626.52
160,178,2024-06-04 19:00:00,UPI,817.7
161,179,2023-06-23 20:00:00,UPI,20890.72
162,180,2024-07-28 15:00:00,Cash,1480.02
163,181,2024-08-14 19:00:00,UPI,15526.48
164,182,2023-05-03 17:00:00,Card,11812.99
165,184,2023-01-03 14:00:00,Cash,10620.46
166,185,2023-02-25 20:00:00,UPI,15958.32
167,186,2024-10-22 17:00:00,Card,11733.32
168,187,2023-02-17 10:00:00,UPI,36990.87
169,188,2024-02-29 17:00:00,Card,4768.44
170,189,2023-12-14 18:00:00,NetBanking,2277.78
171,190,2024-01-30 10:00:00,NetBanking,15317.4
172,191,2023-07-19 19:00:00,UPI,11350.78
173,192,2023-10-30 21:00:00,UPI,3453.9
174,193,2023-08-17 16:00:00,NetBanking,14446.32
175,194,2023-10-28 12:00:00,UPI,6188.47
176,195,2024-06-29 16:00:00,Card,16253.54
177,196,2024-05-25 12:00:00,NetBanking,28370.43
178,197,2024-11-13 11:00:00,UPI,10786.38
179,199,2024-11-04 11:00:00,UPI,16810.59
180,200,2024-03-20 09:00:00,UPI,7769.85
181,201,2023-01-11 09:00:00,Cash,6263.37
182,202,2024-11-08 12:00:00,UPI,16799.91
